Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,age,races,gender,education,CRT1,AC1,AC2,AC3,AC4,CRT2,CRT3,code
2020-11-17 16:51:30,2020-11-17 16:53:44,IP Address,177.235.35.118,100,133,True,2020-11-17 16:53:45,R_UXYq9Mw5mhM86vT,,,,,-15.779205322265625,-47.9340972900390625,anonymous,EN,30-39,Black or African American,Male,Undergraduate / Associates,0.10,1,,,,5,24,45007
2020-11-17 16:53:38,2020-11-17 16:54:25,IP Address,174.232.6.44,100,47,True,2020-11-17 16:54:26,R_1pXsGf5yCQ6ruVm,,,,,41.1389007568359375,-81.8628997802734375,anonymous,EN,40-49,Black or African American,Female,Undergraduate / Associates,1.05,,,3,,100,13,53774
2020-11-17 16:54:47,2020-11-17 16:55:25,IP Address,98.194.131.163,100,37,True,2020-11-17 16:55:25,R_2xFxRBuL9FG6vSr,,,,,30.0408935546875,-95.5301971435546875,anonymous,EN,30-39,White,Male,High school,0.05,,2,,,5,24,36810
2020-11-17 16:55:58,2020-11-17 16:57:22,IP Address,87.231.20.196,100,83,True,2020-11-17 16:57:22,R_1dyRWxCKAYYNsgL,,,,,44.8412017822265625,-0.580596923828125,anonymous,EN,30-39,White,Male,Masters / PhD,0.05,,2,,,5,24,93210
2020-11-17 16:53:25,2020-11-17 16:57:25,IP Address,24.209.55.201,100,239,True,2020-11-17 16:57:25,R_3D7ME3C0lxzAH8o,,,,,41.4951019287109375,-81.4656982421875,anonymous,EN,40-49,White,Female,Undergraduate / Associates,5,,,,4,5,24,29558
2020-11-17 16:54:33,2020-11-17 16:59:22,IP Address,157.49.206.81,100,289,True,2020-11-17 16:59:23,R_3QDeNz8Jdau00io,,,,,13.087799072265625,80.27850341796875,anonymous,EN,20-29,Asian,Male,Undergraduate / Associates,5,,2,,,5,48,29716
2020-11-17 17:01:40,2020-11-17 17:02:12,IP Address,177.235.35.118,100,32,True,2020-11-17 17:02:12,R_2SBUh9bCAXEVsK1,,,,,-15.779205322265625,-47.9340972900390625,anonymous,EN,30-39,Black or African American,Male,Undergraduate / Associates,0.10,,2,,,5,24,55879
2020-11-17 17:01:44,2020-11-17 17:04:25,IP Address,146.255.183.154,100,161,True,2020-11-17 17:04:26,R_Z9sryXVba1ig2c1,,,,,59.4329986572265625,24.7322998046875,anonymous,EN,40-49,White,Male,Undergraduate / Associates,0.05,,2,,,5,24,58742
2020-11-17 17:04:26,2020-11-17 17:04:53,Spam,177.235.35.118,100,27,True,2020-11-17 17:04:53,R_2QRSPkVBocIpyo8,,,,,-15.779205322265625,-47.9340972900390625,anonymous,EN,30-39,Black or African American,Male,Undergraduate / Associates,0.10,,2,,,5,24,72001
2020-11-17 17:04:41,2020-11-17 17:05:13,IP Address,76.27.219.161,100,32,True,2020-11-17 17:05:14,R_1NFBWfN3rsR4tak,,,,,45.2928924560546875,-122.77459716796875,anonymous,EN,20-29,White,Male,High school,0.05,,2,,,5,24,46809
